Product Name,SKU,Price,Description,Image URL,Link
"2005 Balblair ""1st Release"" Vintage Highland Single Malt Scotch Whisky (750ml ships as 1.5L) (Elsewhere $80)",1505526,Hidden,"Balblair Distillery, nestled in the heart of the Highlands, has been crafting exceptional single malt Scotch whisky since 1790. Originally founded by John Ross, it was rebuilt in 1895 by Charles C Doig. Balblair’s commitment to quality endures, drawing from its original water source—the Ault Dearg burn. The Balblair 2005 Vintage Highland Single Malt Whisky is a delightful expression from the Northern Highlands distillery, matured in American oak ex-bourbon barrels. This is the first ever edition of Balblair's 2005 vintage and was release in 2015.",https://cdn.klwines.com/images/skus/1505526m.jpg,https://www.klwines.com/p/i?i=1505526&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=1
2022 Phantomir Ridge Napa Valley Cabernet Sauvignon (Elsewhere $100),1771196,Hidden,"93 points Decanter: ""Another crowd-pleasing wine from Weston Eidson, who cut his teeth working alongside Napa's Jason Moore and Russell Bevan. This blend of 96% Cabernet Sauvignon, 2% Petit Verdot, and 2% Malbec is sourced from Oakville and Yountville AVAs and was aged in 50% new French oak barrels. Medium to deep ruby-purple colour in the glass. It showcases the warmth and generosity of Napa's 2022 vintage in an incredibly satisfying package, leading with enticing aromas of vanilla-laced boysenberry fruit scented with lilac floral and sweet baking spice...",https://cdn.klwines.com/images/skus/1771196m.jpg,https://www.klwines.com/p/i?i=1771196&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=2
Egrot Extra Brut Champagne,1379690,$39.99,"Elisabeth Goutorbe and her husband Jean-Marie Egrot run their tiny production Champagne house almost entirely by themselves. They get very little help from their cat Maurice, but can rely on Elisabeth’s father, René Goutorbe of Champagne Henri Goutorbe for a little bit of help. Of the 15 acres they own in Ay, Louvois, Tauxieres and Mutigny, they only keep the fruit from their 2.5 best—mostly in Ay, but also a touch of Louvois Chardonnay for balance. Their home straddles the border of Ay and Mutigny, two great terroirs in the Gand Valley of the Marne, whi...",https://cdn.klwines.com/images/skus/1379690m.jpg,https://www.klwines.com/p/i?i=1379690&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=3
W.L. Weller 12 Year Old Bourbon (750ml) (one bottle limit),630027,$99.99,"Whisky Advocate: ""A “wheated” bourbon, meaning that it doesn’t have the spicy rye notes found in a more traditional “ryed” bourbon. A pleasantly sweet, easy-going, well-balanced experience. Creamy vanilla, caramel, candied corn, and ripe berried fruit, along with more subtle notes of glazed orange, cocoa powder, and wood shavings. If I were going to ease a new bourbon drinker into the category, I might pick this one. ""  K&L Notes: ****Limit one per household across all inventory locations. Multiple orders from the same address with different names will n...",https://cdn.klwines.com/images/skus/630027m.jpg,https://www.klwines.com/p/i?i=630027&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=4
"2021 Beau Vigne ""Juliet"" Napa Valley Cabernet Sauvignon (Elsewhere $125)",1746449,Hidden,"97 points Wine Enthusiast: ""This sleek but powerful and concentrated wine offers enticing and deep black cherry, graphite and cocoa aromas followed by fine-grained tannins that tighten up as you sip. The wine is built for the long haul, needing time for more complexity to develop and the texture to soften. *Cellar Selection* (JG)"" (04/2024)   K&L Notes: The wines of Beau Vigne are now crafted cult winemaker Julien Fayard. Julien learned how to make wine at Chateau Lafite Rothschild and Chateau Smith Haut Lafitte in Bordeaux before coming to Napa Valley t...",https://cdn.klwines.com/images/skus/1746449m.jpg,https://www.klwines.com/p/i?i=1746449&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=5
Egrot Brut Champagne,1035576,$34.99,"This Champagne used to be called Elisabeth Goutorbe Cuvée Éclatante. Elisabeth changed the name over to her married name Egrot when she and her husband moved out of her parents' facility in Aÿ, and into their own. It is a 100% estate-grown, direct-import gem. It is a blend of two thirds  Pinot Noir and one third Chardonnay, mostly from the grand crus of Ay and Louvois and including some from the premier crus of Tauxieres and Mutigny. Dosage is a little under 8 grams per liter. This wine has the silky texture and tiny streamers that only patience brings. ...",https://cdn.klwines.com/images/skus/1035576m.jpg,https://www.klwines.com/p/i?i=1035576&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=6
"Pierre Paillard ""Les Parcelles"" Grand Cru Extra Brut Bouzy Champagne",1084730,$49.99,"93 points Jeb Dunnuck: ""Made from 80% Pinot and 20% Chardonnay, with the base 2019 and the rest reserve wine from the past couple of years, the NV Champagne Grand Cru Bouzy Les Parcelles is expressive and fruit-forward on opening, with notes of cherry blossom, fresh peach, and honeycomb. With zero grams per liter dosage, there’s no lacking for ripeness and freshness. Long on the palate and quite inviting, it’s going to be wonderful drinking over the coming 8-10 years. (AF)"" (11/2023)   91 points Decanter: ""From the 2019 vintage-based edition, Pailllard’s...",https://cdn.klwines.com/images/skus/1084730m.jpg,https://www.klwines.com/p/i?i=1084730&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=7
Pierre Mineral Brut Rosé Champagne,1267213,$49.99,"This fantastic, elegant, very dry rosé is composed of 90% Mesnil Grand Cru Chardonnay and 10% red wine from Pinot Noir grown in the 1er cru of Vertus. The Gonet family has crafted a wonderful, crisp rosé that has the elusive strawberry fruit that fans of the subtle style of Champagne rosé cannot get enough of. This is an incredible deal at the price. - Gary Westby, K&L Champagne Buyer",https://cdn.klwines.com/images/skus/1267213m.jpg,https://www.klwines.com/p/i?i=1267213&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=8
"Suntory ""Yamazaki"" 12 Year Old Japanese Single Malt Whisky (750ml)",1027030,$159.99,"93 points Whisky Advocate: ""The first thing you notice is the elegant fragrance of lychee, spring blossoms, lily, rosewater, and raspberry meringue. Deeper in, grassy notes with star fruit, kumquat, and kaffir lime leaves. The flavors offer perfection in their simplicity: silky honey, soft spices, crystalized pineapple, barley sugar, lemon, and orange. On the finish, the spices chatter on and on as the sweet citrus and honey fade in and out. One to cherish. (JM, Spring 2018)""  K&L Notes: The Suntory whiskies are handcrafted at Japan's oldest distillery, ...",https://cdn.klwines.com/images/skus/1027030m.jpg,https://www.klwines.com/p/i?i=1027030&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=9
"2018 Cellier des Dauphins ""Réserve"" Côtes-du-Rhône",1460912,$12.99,"97 points Decanter: ""This is delicious! Very classy and appealing aromas of flowers, garrigue, spice and forest floor. On the palate sweet vanilla oak marries into the charming and svelte herbal, red and blue fruit mix. It's full of flavour, super supple, super drinkable and authentic. Bouquet, taste, finish: all are magnificent. (DWWA)"" (04/2019)   Wine Enthusiast: ""A blend of 60% Grenache and 40% Syrah, this plump, perfumed red entices with aromas of pristine blackberry accented by fresh beet root and herb. It's densely fruity and voluminous in mouthfe...",https://cdn.klwines.com/images/skus/1460912m.jpg,https://www.klwines.com/p/i?i=1460912&searchId=d5b5e821-f471-447d-a067-c6aa2fe953c7&searchServiceName=klwines-prod-productsearch&searchRank=10
