Date,SKU,Vintage,Item Name,List Price,Quantity On Hand,Allocation
10/13/2024 8:09 PM,1702832,2022,"Donnhoff Felsenberg ""Felsentürmchen"" Riesling Grosses Gewächs Nahe (Previously $85)",Hidden,Sold Out,
10/13/2024 7:39 PM,1169260,2004,"Hyde de Villaine ""Belle Cousine"" Carneros Proprietary Red",$44.99,1,
10/13/2024 7:39 PM,1150911,2009,Silver Oak Napa Valley Cabernet Sauvignon,$139.99,1,
10/13/2024 7:39 PM,1419229,2016,"Kosta Browne ""Koplen Vineyard"" Russian River Valley Pinot Noir",$119.99,1,
10/13/2024 7:39 PM,1756397,2008,O'Shaughnessy Howell Mountain Cabernet Sauvignon (bin-soiled & nicked label),$124.99,1,
10/13/2024 7:39 PM,1778090,2013,"Peter Michael ""Clos du Ciel"" Fort Ross-Seaview Pinot Noir (depressed cork)",$124.99,1,
10/13/2024 7:39 PM,1776726,2003,"Robert Mondavi ""Reserve"" Napa Valley Cabernet Sauvignon (lightly stained label)",$119.99,1,
10/13/2024 7:39 PM,1627347,2016,"Robert Mondavi ""Reserve"" Carneros Pinot Noir",$54.99,1,
10/13/2024 7:39 PM,1018266,2001,"Kenwood ""Artist Series"" Sonoma Cabernet Sauvignon",$59.99,1,
10/13/2024 7:39 PM,999998,1999,Simi Alexander Valley Cabernet Sauvignon,$49.99,1,
10/13/2024 7:39 PM,1012495,2001,Stags' Leap Winery Napa Valley Cabernet Sauvignon,$44.99,1,
10/13/2024 7:39 PM,1774584,2010,"Ridge Vineyards ""Klein"" Santa Cruz Mountains Cabernet Sauvignon (lightly scuffed label)",$99.99,1,
10/13/2024 7:39 PM,1782183,1997,"Bargetto ""Unfiltered Reserve"" Santa Cruz Mountains Cabernet Sauvignon",$44.99,1,
10/13/2024 9:06 AM,1726993,2021,Tekstura Willamette Valley Pinot Noir,$29.99,Sold Out,
10/13/2024 3:05 AM,1782158,,"Charbay ""Number 5 To Stay Alive"" Scotch Club Exclusive Hop Flavored Whiskey (750ml) (Special Order)",$179.99,Sp O,
10/13/2024 1:05 AM,610023,,Johnnie Walker Black Blended Scotch Whisky (750ml),$34.99,1,
10/12/2024 11:04 PM,1766512,,"Rare Character 8 Year Old ""Stiletto"" Barrel #RIO-315 Cask Strength Indiana Bourbon Whiskey (750ml)",$125.00,Sold Out,2
10/12/2024 10:49 PM,1560967,2018,"Ridge Vineyards ""Monte Bello"" Santa Cruz Mountains Cabernet Sauvignon",$249.99,1,
10/12/2024 10:49 PM,1088992,2008,"Antinori ""Tignanello"" Toscana",$329.99,1,
10/12/2024 10:04 PM,1432025,2016,"Antinori ""Tignanello"" Toscana 6-Pack (Special Order) (Pre-Arrival)","$1,345.00",Sp O,
10/12/2024 6:03 PM,1716886,2019,"Crowley Vineyard ""Estate"" Spring Mountain District Cabernet Sauvignon (Previously $80)",Hidden,1,
10/12/2024 5:18 PM,1783923,2021,"Jermann ""Were Dreams"" Where Dreams Have no End Venezia Giulia",$72.99,6,
10/12/2024 4:48 PM,1371612,2015,"d'Yquem, Sauternes (375ml)",$269.99,3,
10/12/2024 4:48 PM,1784142,2015,"d'Yquem, Sauternes (375ml) (depressed cork)",$269.99,1,
10/12/2024 4:33 PM,1780150,2022,"Domaine Arlaud Morey-St-Denis 1er Cru ""Les Millandes""",$119.99,6,
10/12/2024 4:18 PM,1784143,2014,"d'Yquem, Sauternes (375ml) (lightly scuffed label)",$219.99,1,
10/12/2024 4:18 PM,1090875,2011,"d'Yquem, Sauternes (375ml)",$249.99,1,
10/12/2024 4:18 PM,1112065,2009,"d'Yquem, Sauternes",$549.99,1,
10/12/2024 4:18 PM,1270845,2013,"d'Yquem, Sauternes (375ml)",$199.99,1,
10/12/2024 4:18 PM,1021456,2001,"d'Yquem, Sauternes (375ml)",$399.99,1,
10/12/2024 4:18 PM,1206678,2014,"d'Yquem, Sauternes (375ml)",$219.99,Sold Out,
10/12/2024 3:47 PM,1786342,2009,"Saxum ""James Berry Vineyard"" Paso Robles Rhône Blend (1.5L) (lightly scuffed label)",$299.99,1,
10/12/2024 3:32 PM,1293507,,Tromba Blanco Tequila (750ml) (Previously $40),Hidden,6,
10/12/2024 2:47 PM,1374229,,"Uline Top Loading Packing List Envelopes - Clear, 9 1/2 x 6"" 1,000/carton",$0.30,> 100,
10/12/2024 9:05 AM,1225548,,"Cynar ""70 Proof"" Artichoke Liqueur (1L)",$42.99,13,
10/12/2024 4:47 AM,1684200,,Barrell Craft 9 Year Old K&L Exclusive Single Barrel #Z6B4 Indiana Straight Bourbon Whiskey (750ml) (Previously $100),Hidden,2,
10/12/2024 4:47 AM,1706441,,Ventura Spirits Pixie Collins (4x200ml Cans) (Previously $20),Hidden,3,
10/12/2024 4:47 AM,1702404,2020,"Peter Michael ""Au Paradis"" Oakville Cabernet Sauvignon (Previously $279)",Hidden,7,
10/12/2024 4:47 AM,1701933,2017,"Sérafin Père et Fils Gevrey-Chambertin 1er Cru ""Les Corbeaux"" (Previously $180)",Hidden,1,
10/12/2024 4:47 AM,1562616,2009,Domaine Séailles 11 Year Old Tenareze Armagnac (700ml) (Previously $70),Hidden,81,
10/12/2024 4:47 AM,1689017,2019,"Vinos del Viento ""Montecito"" Campo de Borja (Previously $15)",Hidden,> 100,
10/12/2024 4:47 AM,1706670,2019,"Azelia ""San Rocco"" Barolo (Previously $124)",Hidden,18,
